start,end,lwe,t_min,t_max,rh_min,rh_max
2014 Nov 06 19:00,2014 Nov 07 14:30,,-2.4,-1.6,95,97
2014 Dec 18 14:00,2014 Dec 18 19:00,2.5,-2.3,-0.8,97,98
2014 Dec 24 08:30,2014 Dec 24 13:00,1.4,-9.2,-8.9,90,91
2014 Dec 30 00:30,2014 Dec 30 14:00,5.8,-10.4,-0.6,91,98
2015 Jan 3 09:00,2015 Jan 3 23:50,7.3,-3.9,0&96,98
2015 Jan 7 01:00,2015 Jan 7 20:10,6.0,-6.5,-0.8,92,97
2015 Jan 8 06:00,2015 Jan 8 13:30,2.7,-1.9,0,97,99
2015 Jan 9 18:00,2015 Jan 10 06:00,3.1,-3.7,-0.2,95,98
2015 Jan 10 22:00,2015 Jan 11 09:00,0.6,-12.6,-4.4,88,95
2015 Jan 12 21:00,2015 Jan 13 08:30,13.1,-15.7,-9.0,88,94
2015 Jan 13 22:00,2015 Jan 14 07:00,2.2,-8.0,-0.3,94,98
2015 Jan 16 01:30,2015 Jan 16 07:30,5.8,-1.3,-0.6,92,98
2015 Jan 18 16:00,2015 Jan 18 21:00,1.9,-2.4,-0.3,95,97
2015 Jan 22 21:00,2015 Jan 23 04:30,2.1,-13.3,-12.5,87,90
2015 Jan 23 15:00,2015 Jan 23 23:00,1.3,-10.1,-8.8,91,93
2015 Jan 25 09:00,2015 Jan 25 16:00,2.7,-2.4,-1.7,96,97
2015 Jan 31 12:00,2015 Feb 1 16:00,,-3.6,-1.1,92,97
